L,B,passedCars
3,4,756
3,5,492
3,6,13319
3,7,18120
3,8,18208
3,9,18177
3,10,18188
3,11,18155
3,12,18369
3,13,18203
3,14,18413
3,15,18125
3,16,18316
4,5,563
4,6,99
4,7,1113
4,8,971
4,9,18363
4,10,18513
4,11,18136
4,12,18231
4,13,18038
4,14,18358
4,15,18253
4,16,18535
5,6,589
5,7,192
5,8,905
5,9,1382
5,10,18496
5,11,18369
5,12,18214
5,13,18406
5,14,18195
5,15,18220
5,16,18396
6,7,234
6,8,390
6,9,1305
6,10,827
6,11,664
6,12,18460
6,13,18501
6,14,18388
6,15,18542
6,16,18288
7,8,2021
7,9,1005
7,10,1763
7,11,708
7,12,1549
7,13,65
7,14,18395
7,15,18317
7,16,18550
8,9,2346
8,10,1100
8,11,119
8,12,2392
8,13,1921
8,14,1502
8,15,1186
8,16,11180
