plaza,L,B,passedCars
M3_north,3,4,461
M3_north,3,5,605
M3_north,3,6,8981
M3_north,3,7,9093
M3_north,3,8,8932
M3_north,3,9,9031
M3_north,3,10,9181
M3_north,3,11,9116
M3_north,3,12,9142
M3_north,3,13,9142
M3_north,3,14,9236
M3_north,3,15,9085
M3_north,3,16,9327
M3_north,4,5,415
M3_north,4,6,322
M3_north,4,7,11
M3_north,4,8,7604
M3_north,4,9,9225
M3_north,4,10,9055
M3_north,4,11,9101
M3_north,4,12,9206
M3_north,4,13,9198
M3_north,4,14,9115
M3_north,4,15,9214
M3_north,4,16,9135
M3_north,5,6,716
M3_north,5,7,384
M3_north,5,8,307
M3_north,5,9,843
M3_north,5,10,9113
M3_north,5,11,9176
M3_north,5,12,9370
M3_north,5,13,9068
M3_north,5,14,9161
M3_north,5,15,9061
M3_north,5,16,9256
M3_north,6,7,676
M3_north,6,8,584
M3_north,6,9,60
M3_north,6,10,731
M3_north,6,11,561
M3_north,6,12,9218
M3_north,6,13,9178
M3_north,6,14,9360
M3_north,6,15,9253
M3_north,6,16,9058
M3_north,7,8,1186
M3_north,7,9,1592
M3_north,7,10,472
M3_north,7,11,683
M3_north,7,12,1409
M3_north,7,13,971
M3_north,7,14,9016
M3_north,7,15,9213
M3_north,7,16,9220
M3_north,8,9,986
M3_north,8,10,894
M3_north,8,11,1817
M3_north,8,12,920
M3_north,8,13,1251
M3_north,8,14,673
M3_north,8,15,1316
M3_north,8,16,9163
