plaza,L,B,passedCars
M3_south,3,4,175
M3_south,3,5,962
M3_south,3,6,4428
M3_south,3,7,23938
M3_south,3,8,30793
M3_south,3,9,23747
M3_south,3,10,30783
M3_south,3,11,30719
M3_south,3,12,30768
M3_south,3,13,30709
M3_south,3,14,30717
M3_south,3,15,30725
M3_south,3,16,30746
M3_south,4,5,31
M3_south,4,6,719
M3_south,4,7,64
M3_south,4,8,4512
M3_south,4,9,31276
M3_south,4,10,31377
M3_south,4,11,31487
M3_south,4,12,31398
M3_south,4,13,31616
M3_south,4,14,31414
M3_south,4,15,31299
M3_south,4,16,31588
M3_south,5,6,269
M3_south,5,7,1327
M3_south,5,8,1157
M3_south,5,9,1272
M3_south,5,10,4530
M3_south,5,11,31708
M3_south,5,12,31696
M3_south,5,13,31566
M3_south,5,14,31885
M3_south,5,15,31734
M3_south,5,16,31826
M3_south,6,7,543
M3_south,6,8,818
M3_south,6,9,1424
M3_south,6,10,168
M3_south,6,11,1222
M3_south,6,12,5398
M3_south,6,13,31856
M3_south,6,14,32092
M3_south,6,15,32031
M3_south,6,16,31848
M3_south,7,8,580
M3_south,7,9,1222
M3_south,7,10,1472
M3_south,7,11,1130
M3_south,7,12,1069
M3_south,7,13,105
M3_south,7,14,6190
M3_south,7,15,32051
M3_south,7,16,32123
M3_south,8,9,1057
M3_south,8,10,1854
M3_south,8,11,2877
M3_south,8,12,1517
M3_south,8,13,1668
M3_south,8,14,1194
M3_south,8,15,1350
M3_south,8,16,32173
