plaza,L,B,passedCars
M6,3,4,819
M6,3,5,455
M6,3,6,11173
M6,3,7,10978
M6,3,8,11086
M6,3,9,11149
M6,3,10,11080
M6,3,11,11068
M6,3,12,11053
M6,3,13,11168
M6,3,14,11131
M6,3,15,11163
M6,3,16,10969
M6,4,5,455
M6,4,6,275
M6,4,7,760
M6,4,8,11321
M6,4,9,11193
M6,4,10,11223
M6,4,11,11221
M6,4,12,11146
M6,4,13,11190
M6,4,14,11110
M6,4,15,11013
M6,4,16,11095
M6,5,6,212
M6,5,7,84
M6,5,8,2020
M6,5,9,715
M6,5,10,1544
M6,5,11,11296
M6,5,12,11106
M6,5,13,11199
M6,5,14,11011
M6,5,15,11228
M6,5,16,11118
M6,6,7,810
M6,6,8,681
M6,6,9,1636
M6,6,10,1642
M6,6,11,709
M6,6,12,11157
M6,6,13,11043
M6,6,14,11305
M6,6,15,11247
M6,6,16,11220
M6,7,8,1163
M6,7,9,461
M6,7,10,1085
M6,7,11,2917
M6,7,12,987
M6,7,13,1645
M6,7,14,11067
M6,7,15,11371
M6,7,16,10976
M6,8,9,1290
M6,8,10,253
M6,8,11,2455
M6,8,12,2252
M6,8,13,746
M6,8,14,1416
M6,8,15,2103
M6,8,16,11012
