plaza,L,B,passedCars
M9,3,3,9075
M9,3,4,433
M9,3,5,479
M9,3,6,9096
M9,3,7,9102
M9,3,8,8979
M9,3,9,9143
M9,3,10,8978
M9,3,11,9012
M9,3,12,8976
M9,3,13,9042
M9,3,14,9041
M9,3,15,9100
M9,3,16,9090
M9,4,4,9111
M9,4,5,421
M9,4,6,447
M9,4,7,820
M9,4,8,9058
M9,4,9,9064
M9,4,10,8980
M9,4,11,9234
M9,4,12,8991
M9,4,13,9081
M9,4,14,9128
M9,4,15,8983
M9,4,16,9155
M9,5,5,9078
M9,5,6,662
M9,5,7,864
M9,5,8,998
M9,5,9,554
M9,5,10,9127
M9,5,11,9098
M9,5,12,9067
M9,5,13,9011
M9,5,14,9240
M9,5,15,9063
M9,5,16,9043
M9,6,6,8993
M9,6,7,597
M9,6,8,523
M9,6,9,444
M9,6,10,809
M9,6,11,1060
M9,6,12,9138
M9,6,13,9258
M9,6,14,8982
M9,6,15,9066
M9,6,16,8950
M9,7,7,9168
M9,7,8,373
M9,7,9,920
M9,7,10,1479
M9,7,11,2987
M9,7,12,1058
M9,7,13,387
M9,7,14,9013
M9,7,15,9115
M9,7,16,9242
M9,8,8,9019
M9,8,9,1292
M9,8,10,118
M9,8,11,1091
M9,8,12,1234
M9,8,13,793
M9,8,14,623
M9,8,15,1221
M9,8,16,9059
M9,9,9,9052
M9,9,10,2131
M9,9,11,1687
M9,9,12,901
M9,9,13,582
M9,9,14,1776
M9,9,15,696
M9,9,16,3238
M9,10,10,9098
M9,10,11,2111
M9,10,12,1402
M9,10,13,2503
M9,10,14,1295
M9,10,15,990
M9,10,16,1251
M9,11,11,9045
M9,11,12,1852
M9,11,13,1258
M9,11,14,1941
M9,11,15,1049
M9,11,16,6119
M9,12,12,9280
M9,12,13,1665
M9,12,14,1296
M9,12,15,1659
M9,12,16,1544
M9,13,13,9152
M9,13,14,1533
M9,13,15,2436
M9,13,16,1401
M9,14,14,9105
M9,14,15,1409
M9,14,16,397
M9,15,15,8968
M9,15,16,2291
M9,16,16,9144
