plaza,L,B,run,passedCars
M9,5,5,1,9055
M9,5,5,2,9157
M9,5,5,3,9056
M9,5,5,4,9079
M9,5,5,5,9047
M9,5,5,6,9078
M9,5,5,7,9224
M9,5,5,8,9124
M9,5,5,9,8987
M9,5,5,10,9079
M9,5,5,11,9188
M9,5,5,12,9021
M9,5,5,13,9273
M9,5,5,14,9252
M9,5,5,15,9032
M9,5,5,16,9158
M9,5,5,17,9178
M9,5,5,18,9292
M9,5,5,19,9104
M9,5,5,20,9087
M9,5,5,21,9040
M9,5,5,22,8992
M9,5,5,23,9000
M9,5,5,24,8951
M9,5,5,25,9110
M9,5,5,26,8972
M9,5,5,27,8982
M9,5,5,28,9155
M9,5,5,29,8998
M9,5,5,30,9243
M9,5,5,31,9232
M9,5,5,32,9104
M9,5,5,33,9183
M9,5,5,34,9164
M9,5,5,35,9076
M9,5,5,36,9162
M9,5,5,37,9153
M9,5,5,38,9076
M9,5,5,39,9220
M9,5,5,40,8993
M9,5,5,41,9006
M9,5,5,42,9016
M9,5,5,43,9120
M9,5,5,44,9006
M9,5,5,45,8990
M9,5,5,46,9027
M9,5,5,47,9169
M9,5,5,48,9227
M9,5,5,49,9086
M9,5,5,50,9037
M9,5,5,51,9064
M9,5,5,52,9161
M9,5,5,53,8943
M9,5,5,54,9051
M9,5,5,55,9047
M9,5,5,56,9032
M9,5,5,57,9097
M9,5,5,58,9085
M9,5,5,59,9118
M9,5,5,60,9104
M9,5,5,61,9019
M9,5,5,62,9127
M9,5,5,63,9207
M9,5,5,64,9082
M9,5,5,65,9231
M9,5,5,66,8913
M9,5,5,67,9195
M9,5,5,68,9042
M9,5,5,69,9071
M9,5,5,70,9124
M9,5,5,71,9129
M9,5,5,72,9117
M9,5,5,73,9020
M9,5,5,74,9019
M9,5,5,75,9121
M9,5,5,76,9016
M9,5,5,77,8994
M9,5,5,78,9078
M9,5,5,79,9185
M9,5,5,80,9012
M9,5,5,81,9243
M9,5,5,82,9065
M9,5,5,83,8850
M9,5,5,84,9055
M9,5,5,85,9033
M9,5,5,86,9128
M9,5,5,87,8947
M9,5,5,88,9032
M9,5,5,89,8984
M9,5,5,90,8993
M9,5,5,91,8965
M9,5,5,92,9027
M9,5,5,93,9074
M9,5,5,94,9047
M9,5,5,95,9052
M9,5,5,96,9139
M9,5,5,97,9156
M9,5,5,98,8964
M9,5,5,99,9107
M9,5,5,100,9195
M9,5,11,1,9135
M9,5,11,2,9016
M9,5,11,3,8946
M9,5,11,4,9082
M9,5,11,5,9098
M9,5,11,6,9084
M9,5,11,7,8975
M9,5,11,8,9051
M9,5,11,9,9104
M9,5,11,10,9097
M9,5,11,11,9109
M9,5,11,12,8948
M9,5,11,13,9089
M9,5,11,14,8969
M9,5,11,15,9295
M9,5,11,16,8938
M9,5,11,17,9071
M9,5,11,18,9011
M9,5,11,19,9063
M9,5,11,20,9016
M9,5,11,21,9127
M9,5,11,22,9013
M9,5,11,23,9059
M9,5,11,24,9081
M9,5,11,25,9037
M9,5,11,26,9143
M9,5,11,27,8841
M9,5,11,28,9015
M9,5,11,29,9143
M9,5,11,30,9096
M9,5,11,31,8987
M9,5,11,32,9055
M9,5,11,33,9160
M9,5,11,34,9199
M9,5,11,35,9010
M9,5,11,36,9114
M9,5,11,37,9086
M9,5,11,38,9147
M9,5,11,39,9129
M9,5,11,40,9095
M9,5,11,41,9012
M9,5,11,42,9189
M9,5,11,43,9081
M9,5,11,44,9168
M9,5,11,45,8932
M9,5,11,46,9181
M9,5,11,47,9069
M9,5,11,48,9142
M9,5,11,49,9085
M9,5,11,50,9053
M9,5,11,51,9103
M9,5,11,52,9010
M9,5,11,53,9141
M9,5,11,54,8938
M9,5,11,55,9095
M9,5,11,56,9020
M9,5,11,57,9086
M9,5,11,58,8943
M9,5,11,59,8960
M9,5,11,60,9137
M9,5,11,61,9125
M9,5,11,62,8945
M9,5,11,63,9059
M9,5,11,64,9016
M9,5,11,65,8865
M9,5,11,66,9054
M9,5,11,67,8901
M9,5,11,68,8894
M9,5,11,69,9062
M9,5,11,70,9118
M9,5,11,71,8988
M9,5,11,72,9073
M9,5,11,73,9205
M9,5,11,74,9012
M9,5,11,75,8976
M9,5,11,76,9087
M9,5,11,77,9166
M9,5,11,78,9261
M9,5,11,79,9114
M9,5,11,80,9105
M9,5,11,81,9020
M9,5,11,82,9149
M9,5,11,83,9140
M9,5,11,84,8984
M9,5,11,85,9227
M9,5,11,86,9096
M9,5,11,87,9052
M9,5,11,88,9054
M9,5,11,89,9057
M9,5,11,90,9004
M9,5,11,91,9222
M9,5,11,92,9074
M9,5,11,93,9096
M9,5,11,94,9052
M9,5,11,95,9135
M9,5,11,96,9059
M9,5,11,97,9032
M9,5,11,98,9227
M9,5,11,99,9228
M9,5,11,100,8822
