plaza,L,B,run,passedCars
M9,5,5,1,9098
M9,5,5,2,9143
M9,5,5,3,9010
M9,5,5,4,9004
M9,5,5,5,9045
M9,5,5,6,9144
M9,5,5,7,9224
M9,5,5,8,8955
M9,5,5,9,9113
M9,5,5,10,9056
M9,5,5,11,9203
M9,5,5,12,8993
M9,5,5,13,9185
M9,5,5,14,9003
M9,5,5,15,8924
M9,5,5,16,9145
M9,5,5,17,8979
M9,5,5,18,8942
M9,5,5,19,9015
M9,5,5,20,9173
M9,5,5,21,8915
M9,5,5,22,9145
M9,5,5,23,9063
M9,5,5,24,9082
M9,5,5,25,9079
M9,5,5,26,9065
M9,5,5,27,9038
M9,5,5,28,9001
M9,5,5,29,9082
M9,5,5,30,8975
M9,5,5,31,9125
M9,5,5,32,9105
M9,5,5,33,9008
M9,5,5,34,9029
M9,5,5,35,9151
M9,5,5,36,9067
M9,5,5,37,8948
M9,5,5,38,9014
M9,5,5,39,9034
M9,5,5,40,9136
M9,5,5,41,8998
M9,5,5,42,8936
M9,5,5,43,9032
M9,5,5,44,9140
M9,5,5,45,9105
M9,5,5,46,8955
M9,5,5,47,9019
M9,5,5,48,9086
M9,5,5,49,9221
M9,5,5,50,8968
M9,5,5,51,9119
M9,5,5,52,9061
M9,5,5,53,9011
M9,5,5,54,8917
M9,5,5,55,9048
M9,5,5,56,9093
M9,5,5,57,9119
M9,5,5,58,9033
M9,5,5,59,8955
M9,5,5,60,9053
M9,5,5,61,8817
M9,5,5,62,9046
M9,5,5,63,9062
M9,5,5,64,9026
M9,5,5,65,8899
M9,5,5,66,9152
M9,5,5,67,9100
M9,5,5,68,8951
M9,5,5,69,9067
M9,5,5,70,9233
M9,5,5,71,9269
M9,5,5,72,9166
M9,5,5,73,8953
M9,5,5,74,9093
M9,5,5,75,9246
M9,5,5,76,9179
M9,5,5,77,9144
M9,5,5,78,9004
M9,5,5,79,9061
M9,5,5,80,9007
M9,5,5,81,9152
M9,5,5,82,9159
M9,5,5,83,8980
M9,5,5,84,9063
M9,5,5,85,8969
M9,5,5,86,9063
M9,5,5,87,9060
M9,5,5,88,9110
M9,5,5,89,8993
M9,5,5,90,9016
M9,5,5,91,9090
M9,5,5,92,9177
M9,5,5,93,9215
M9,5,5,94,9261
M9,5,5,95,9073
M9,5,5,96,9065
M9,5,5,97,9057
M9,5,5,98,9107
M9,5,5,99,9016
M9,5,5,100,9003
M9,5,11,1,9110
M9,5,11,2,8964
M9,5,11,3,9082
M9,5,11,4,9151
M9,5,11,5,9055
M9,5,11,6,9281
M9,5,11,7,8960
M9,5,11,8,9044
M9,5,11,9,9083
M9,5,11,10,9209
M9,5,11,11,8982
M9,5,11,12,9271
M9,5,11,13,9114
M9,5,11,14,9080
M9,5,11,15,8969
M9,5,11,16,9143
M9,5,11,17,9041
M9,5,11,18,8978
M9,5,11,19,9170
M9,5,11,20,9114
M9,5,11,21,9130
M9,5,11,22,9073
M9,5,11,23,9009
M9,5,11,24,8912
M9,5,11,25,9013
M9,5,11,26,9059
M9,5,11,27,8969
M9,5,11,28,8983
M9,5,11,29,9239
M9,5,11,30,9009
M9,5,11,31,9160
M9,5,11,32,8989
M9,5,11,33,9227
M9,5,11,34,9179
M9,5,11,35,9093
M9,5,11,36,9169
M9,5,11,37,9138
M9,5,11,38,9222
M9,5,11,39,9017
M9,5,11,40,9215
M9,5,11,41,9076
M9,5,11,42,9155
M9,5,11,43,9121
M9,5,11,44,9044
M9,5,11,45,9166
M9,5,11,46,9023
M9,5,11,47,9074
M9,5,11,48,8963
M9,5,11,49,9028
M9,5,11,50,9025
M9,5,11,51,9092
M9,5,11,52,9176
M9,5,11,53,9024
M9,5,11,54,8944
M9,5,11,55,8933
M9,5,11,56,9005
M9,5,11,57,9228
M9,5,11,58,9100
M9,5,11,59,9178
M9,5,11,60,8947
M9,5,11,61,9169
M9,5,11,62,8986
M9,5,11,63,9253
M9,5,11,64,9289
M9,5,11,65,9112
M9,5,11,66,8977
M9,5,11,67,9045
M9,5,11,68,8989
M9,5,11,69,9066
M9,5,11,70,9249
M9,5,11,71,9204
M9,5,11,72,9221
M9,5,11,73,9079
M9,5,11,74,9233
M9,5,11,75,9163
M9,5,11,76,9048
M9,5,11,77,8940
M9,5,11,78,9101
M9,5,11,79,9018
M9,5,11,80,8919
M9,5,11,81,9196
M9,5,11,82,8991
M9,5,11,83,9033
M9,5,11,84,9007
M9,5,11,85,9119
M9,5,11,86,9131
M9,5,11,87,9159
M9,5,11,88,9160
M9,5,11,89,8973
M9,5,11,90,9208
M9,5,11,91,9058
M9,5,11,92,8964
M9,5,11,93,9043
M9,5,11,94,8942
M9,5,11,95,8970
M9,5,11,96,9058
M9,5,11,97,9133
M9,5,11,98,9215
M9,5,11,99,9232
M9,5,11,100,9135
